Name	Year
A6 Murals Worldwide, Curated and published in NL, Lydia Wierenga	2020
Vasari 21, The Fine Art of Recycling: Part Two, NYC, Ann Landi	Mon Feb 24 2020 00:00:00 GMT-0500 (Eastern Standard Time)
Vasari 21, art and recycling, NYC, Ann Landi	Sat Feb 22 2020 00:00:00 GMT-0500 (Eastern Standard Time)
The Kiosk of Democracy, Poetic Formations, Germany, Sascha Windolph	2020
L'iMPOSSiBLeu, iJNDZN, France, Georges Cazenove, IFcollectif	Sat May 01 2021 00:00:00 GMT-0400 (Eastern Daylight Time)
Art Presence, Artist Interview #26, Paris, France, Penelope Roland	Mon Mar 01 2021 00:00:00 GMT-0500 (Eastern Standard Time)
